Age,Boys%,BoysLowerCI,BoysUpperCI,Girls%,GirlsLowerCI,GirlsUpperCI
Overall,30.0,29.0,31.0,38.0,37.0,39.0
11,21.0,18.2,23.7,22.6,20.0,25.1
12,23.5,21.4,25.5,32.4,30.3,34.6
13,29.7,27.5,31.8,37.1,35.1,39.2
14,33.6,31.5,35.7,44.1,42.1,46.1
15,37.5,35.2,39.9,45.5,43.2,47.6
